Start Date,End Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),7 Day Total Sales (₹),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"Feb 1, 2025","Mar 15, 2025",b0by2t1yvm,1,91.06%,*,-,No Portfolio,SPA | B0CLLT71RW | ALL | VISIBILITY | DSTM 653b7a,Fusked - Action Dress Ups & Accessories,INR,8,251,3.1900%,Rs.15.14,Rs.1.8925,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",travel organizer pouch,87,0.12%,travel organizer pouch,EXACT,liquidations-Jan-25,31/1-travelling6packBE30-TACOS-20,6pcs travel orgnaizers,INR,44,4743,0.9300%,Rs.484.25,Rs.11.0057,1,Rs.436.6,110.9100%,0.90,2.2700%
"Feb 1, 2025","Mar 15, 2025",travel organizer pouch,87,0.12%,organizer pouch,PHRASE,liquidations-Jan-25,31/1-travelling6packBE30-TACOS-20,6pcs travel orgnaizers,INR,1,17,5.8800%,Rs.7.41,Rs.7.41,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",travel organizer pouch,87,0.12%,travel organizer,PHRASE,liquidations-Jan-25,27-01-CompressionCubes_Combo_BE14TACOS10,CompressionCubes_Combo_TACOS10,INR,40,8795,0.4500%,Rs.232.38,Rs.5.809500000000001,2,Rs.1573.74,14.7700%,6.77,5.0000%
"Feb 1, 2025","Mar 15, 2025",fusked harry potter wands,1,85.02%,*,-,No Portfolio,SPA | B0CLLTYSMY | ALL | VISIBILITY | DSTM 0506f3,Fusked - Action Dress Ups & Accessories,INR,1,8,12.5000%,Rs.2.87,Rs.2.87,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",fusked harry potter wands,1,85.02%,*,-,No Portfolio,SPA | SUPER HERO ASIN | ALL | VISIBILITY | DSTM e86995,Fusked - Children's Costumes,INR,1,196,0.5100%,Rs.1.0,Rs.1.0,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",fusked harry potter wands,1,85.02%,harry potter wand,PHRASE,No Portfolio,manual wands (light+normal),wands,INR,72,12692,0.5700%,Rs.98.21,Rs.1.364,1,Rs.761.86,12.8900%,7.76,1.3900%
"Feb 1, 2025","Mar 15, 2025",elder wand harry potter,2,29.21%,*,-,No Portfolio,SPA | SUPER HERO ASIN | ALL | VISIBILITY | DSTM e86995,Fusked - Action Dress Ups & Accessories,INR,1,54,1.8500%,Rs.1.29,Rs.1.29,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",elder wand harry potter,2,29.21%,"asin=""B09HXJJ8TY""",-,No Portfolio,Manual product targeting,wand PT,INR,90,1187,7.5800%,Rs.247.21,Rs.2.7468,2,Rs.1981.36,12.4800%,8.01,2.2200%
"Feb 1, 2025","Mar 15, 2025",elder wand harry potter,2,29.21%,*,-,No Portfolio,SPA | B0CLLT71RW | ALL | VISIBILITY | DSTM 653b7a,Fusked - Action Dress Ups & Accessories,INR,3,63,4.7600%,Rs.6.87,Rs.2.29,0,Rs.0.0,,0.00,0.0000%
